cohort,strategy,net_winning_payout_reduction,selections,events,wins,losses,risk_units,profit_units,roi,roi_ci_95_lower,roi_ci_95_upper,bootstrap_samples,event_close_drawdown_units,source_fight_id_order_drawdown_units,mean_estimated_return_before_stress,mean_selected_win_probability,observed_win_rate,underdog_bets,median_decimal_odds
enough_prior_threshold_examples,current_model,0.0,602,144,233,369,602.0,-39.80612000000001,-0.06612312292358805,-0.17379339787217826,0.0439426801190476,10000,58.75964,60.32328,0.3836319628249701,0.5066404080025007,0.38704318936877075,448,2.65
enough_prior_threshold_examples,fixed_50_50_logit_blend,0.0,514,142,186,328,514.0,-39.33004,-0.07651758754863813,-0.1944549014503689,0.04478953430008695,10000,58.54282,59.742819999999995,0.20456108168086584,0.4298773863865981,0.36186770428015563,409,2.8
enough_prior_threshold_examples,leave_one_out_market,0.0,19,17,1,18,19.0,-10.0,-0.5263157894736842,-1.0,0.5882352941176471,10000,18.0,18.0,0.17512614697938847,0.17084221616135858,0.05263157894736842,19,8.5
enough_prior_threshold_examples,market_first_candidate,0.0,35,27,19,16,35.0,-0.030180000000000096,-0.000862285714285717,-0.3502510892137097,0.3719498598345584,10000,5.47841,5.47841,0.03497725642547124,0.500836555292739,0.5428571428571428,15,1.83333
enough_prior_threshold_examples,no_bets,0.0,0,0,0,0,0.0,0.0,,,,0,0.0,0.0,,,,0,
enough_prior_threshold_examples,current_model,0.02,602,144,233,369,602.0,-46.38999760000001,-0.07705979667774088,-0.18319692248429584,0.03156451276920729,10000,64.28444720000002,65.7968144,0.3836319628249701,0.5066404080025007,0.38704318936877075,448,2.65
enough_prior_threshold_examples,fixed_50_50_logit_blend,0.02,514,142,186,328,514.0,-45.10343920000001,-0.08774988171206227,-0.2041348384657872,0.031983062316441005,10000,63.27196360000001,64.4279636,0.20456108168086584,0.4298773863865981,0.36186770428015563,409,2.8
enough_prior_threshold_examples,leave_one_out_market,0.02,19,17,1,18,19.0,-10.16,-0.5347368421052632,-1.0,0.5599999999999999,10000,18.0,18.0,0.17512614697938847,0.17084221616135858,0.05263157894736842,19,8.5
enough_prior_threshold_examples,market_first_candidate,0.02,35,27,19,16,35.0,-0.34957639999999957,-0.00998789714285713,-0.3551941014015152,0.3578080668571428,10000,5.5488418,5.5488418,0.03497725642547124,0.500836555292739,0.5428571428571428,15,1.83333
enough_prior_threshold_examples,no_bets,0.02,0,0,0,0,0.0,0.0,,,,0,0.0,0.0,,,,0,
enough_prior_threshold_examples,current_model,0.05,602,144,233,369,602.0,-56.26581400000003,-0.09346480730897014,-0.19749110962521974,0.013196611072672336,10000,72.57165800000001,74.00711600000001,0.3836319628249701,0.5066404080025007,0.38704318936877075,448,2.65
enough_prior_threshold_examples,fixed_50_50_logit_blend,0.05,514,142,186,328,514.0,-53.763538000000025,-0.1045983229571985,-0.21870345834697313,0.0127622831815697,10000,70.36567900000003,71.455679,0.20456108168086584,0.4298773863865981,0.36186770428015563,409,2.8
enough_prior_threshold_examples,leave_one_out_market,0.05,19,17,1,18,19.0,-10.4,-0.5473684210526316,-1.0,0.5176470588235293,10000,18.0,18.0,0.17512614697938847,0.17084221616135858,0.05263157894736842,19,8.5
enough_prior_threshold_examples,market_first_candidate,0.05,35,27,19,16,35.0,-0.8286710000000006,-0.023676314285714303,-0.36258881280080213,0.33743793100840325,10000,5.6544894999999995,5.6544894999999995,0.03497725642547124,0.500836555292739,0.5428571428571428,15,1.83333
enough_prior_threshold_examples,no_bets,0.05,0,0,0,0,0.0,0.0,,,,0,0.0,0.0,,,,0,
