strategy,dimension,value,net_winning_payout_reduction,selections,events,wins,losses,risk_units,profit_units,roi,roi_ci_95_lower,roi_ci_95_upper,bootstrap_samples,event_close_drawdown_units,source_fight_id_order_drawdown_units,mean_estimated_return_before_stress,mean_selected_win_probability,observed_win_rate,underdog_bets,median_decimal_odds
fixed_50_50_logit_blend,book_name,DraftKings,0.05,110,73,32,78,110.0,-28.040288500000003,-0.25491171363636367,-0.46256849074448936,-0.029700880480769312,10000,28.719116499999995,28.719116499999995,0.1953147528320965,0.4176958582728626,0.2909090909090909,90,2.95
fixed_50_50_logit_blend,book_name,FanDuel,0.0,121,80,46,75,121.0,-4.389479999999997,-0.03627669421487601,-0.255135967987568,0.19419191901982072,10000,16.69442,16.694419999999997,0.19767686685603902,0.4556053682894978,0.38016528925619836,95,2.68
fixed_50_50_logit_blend,book_name,FanDuel,0.02,121,80,46,75,121.0,-5.8016904,-0.04794785454545455,-0.2638519877797806,0.17947214905470085,10000,17.1805316,17.180531600000002,0.19767686685603902,0.4556053682894978,0.38016528925619836,95,2.68
fixed_50_50_logit_blend,book_name,FanDuel,0.05,121,80,46,75,121.0,-7.920006000000001,-0.06545459504132232,-0.27695056526580464,0.15701564958333317,10000,17.909699000000003,17.909699000000003,0.19767686685603902,0.4556053682894978,0.38016528925619836,95,2.68
fixed_50_50_logit_blend,book_name,Unibet,0.0,2,2,0,2,2.0,-2.0,-1.0,-1.0,-1.0,10000,2.0,2.0,0.3008432988248021,0.3973138398138095,0.0,2,3.375
fixed_50_50_logit_blend,book_name,Unibet,0.02,2,2,0,2,2.0,-2.0,-1.0,-1.0,-1.0,10000,2.0,2.0,0.3008432988248021,0.3973138398138095,0.0,2,3.375
fixed_50_50_logit_blend,book_name,Unibet,0.05,2,2,0,2,2.0,-2.0,-1.0,-1.0,-1.0,10000,2.0,2.0,0.3008432988248021,0.3973138398138095,0.0,2,3.375
fixed_50_50_logit_blend,odds_band,1_to_2,0.0,130,94,86,44,130.0,17.83679,0.13720607692307693,0.002799667759018469,0.26942342429315475,10000,6.179410000000001,7.12281,0.09012883002809557,0.6373010450104549,0.6615384615384615,0,1.74074
fixed_50_50_logit_blend,odds_band,1_to_2,0.02,130,94,86,44,130.0,16.6000542,0.1276927246153846,-0.0055548306494513314,0.25858914309650016,10000,6.2158218000000005,7.1403538,0.09012883002809557,0.6373010450104549,0.6615384615384615,0,1.74074
fixed_50_50_logit_blend,odds_band,1_to_2,0.05,130,94,86,44,130.0,14.744950499999993,0.11342269615384609,-0.018006487627002486,0.24263796590105186,10000,6.2704395,7.1666695,0.09012883002809557,0.6373010450104549,0.6615384615384615,0,1.74074
fixed_50_50_logit_blend,odds_band,over_10,0.0,4,4,0,4,4.0,-4.0,-1.0,-1.0,-1.0,10000,4.0,4.0,0.7959797106749538,0.14689491471864752,0.0,4,12.0
fixed_50_50_logit_blend,odds_band,over_10,0.02,4,4,0,4,4.0,-4.0,-1.0,-1.0,-1.0,10000,4.0,4.0,0.7959797106749538,0.14689491471864752,0.0,4,12.0
fixed_50_50_logit_blend,odds_band,over_10,0.05,4,4,0,4,4.0,-4.0,-1.0,-1.0,-1.0,10000,4.0,4.0,0.7959797106749538,0.14689491471864752,0.0,4,12.0
fixed_50_50_logit_blend,odds_band,over_2_to_3,0.0,237,134,81,156,237.0,-36.660000000000004,-0.1546835443037975,-0.31467156091511495,0.004981329505471104,10000,41.13,41.13,0.15083800064684486,0.4597363510439284,0.34177215189873417,237,2.52
fixed_50_50_logit_blend,odds_band,over_2_to_3,0.02,237,134,81,156,237.0,-39.046800000000005,-0.16475443037974685,-0.3228425893270694,-0.0069649506051115825,10000,42.48739999999999,43.32819999999999,0.15083800064684486,0.4597363510439284,0.34177215189873417,237,2.52
fixed_50_50_logit_blend,odds_band,over_2_to_3,0.05,237,134,81,156,237.0,-42.62700000000001,-0.17986075949367092,-0.33513413576060347,-0.024883892167382016,10000,45.68549999999999,46.685500000000005,0.15083800064684486,0.4597363510439284,0.34177215189873417,237,2.52
fixed_50_50_logit_blend,odds_band,over_3_to_5,0.0,200,120,54,146,200.0,-0.7000000000000011,-0.0035000000000000053,-0.21904761904761905,0.2205546652179816,10000,21.7,21.7,0.25386144101323316,0.33205023187239435,0.27,200,3.75
fixed_50_50_logit_blend,odds_band,over_3_to_5,0.02,200,120,54,146,200.0,-3.606000000000005,-0.018030000000000025,-0.23052049206349207,0.20284177626079672,10000,22.326,22.326,0.25386144101323316,0.33205023187239435,0.27,200,3.75
fixed_50_50_logit_blend,odds_band,over_3_to_5,0.05,200,120,54,146,200.0,-7.965000000000009,-0.03982500000000004,-0.24752503867491737,0.1762713743382557,10000,23.265000000000004,23.265000000000004,0.25386144101323316,0.33205023187239435,0.27,200,3.75
fixed_50_50_logit_blend,odds_band,over_5_to_10,0.0,62,51,6,56,62.0,-27.35,-0.44112903225806455,-0.8193592489919355,0.010505865102638982,10000,29.3,29.3,0.4600183898680648,0.23348415448754534,0.0967741935483871,62,5.85
fixed_50_50_logit_blend,odds_band,over_5_to_10,0.02,62,51,6,56,62.0,-27.923,-0.45037096774193547,-0.8223274067540323,-0.00616124144672554,10000,29.474000000000004,29.474000000000004,0.4600183898680648,0.23348415448754534,0.0967741935483871,62,5.85
fixed_50_50_logit_blend,odds_band,over_5_to_10,0.05,62,51,6,56,62.0,-28.782500000000006,-0.46423387096774205,-0.8267796433971776,-0.031161901270772393,10000,29.735,29.735,0.4600183898680648,0.23348415448754534,0.0967741935483871,62,5.85
fixed_50_50_logit_blend,quote_age_band,0_to_1h,0.0,79,58,27,52,79.0,-5.95483,-0.07537759493670887,-0.37288386444444444,0.23096264687499982,10000,14.62354,15.62354,0.2169743583058982,0.4194411346894198,0.34177215189873417,65,3.0
fixed_50_50_logit_blend,quote_age_band,0_to_1h,0.02,79,58,27,52,79.0,-6.8757334,-0.08703459999999999,-0.38012392538377193,0.21474175262499978,10000,14.8510692,15.8510692,0.2169743583058982,0.4194411346894198,0.34177215189873417,65,3.0
fixed_50_50_logit_blend,quote_age_band,0_to_1h,0.05,79,58,27,52,79.0,-8.257088500000004,-0.10452010759493675,-0.391547123881579,0.19092122796874983,10000,15.192363,16.192363,0.2169743583058982,0.4194411346894198,0.34177215189873417,65,3.0
fixed_50_50_logit_blend,quote_age_band,over_12_to_24h,0.0,123,90,48,75,123.0,-5.362990000000001,-0.04360154471544716,-0.28896521925806457,0.22681173171698366,10000,19.65296,19.65296,0.17749143949513002,0.46117801440734163,0.3902439024390244,93,2.55
fixed_50_50_logit_blend,quote_age_band,over_12_to_24h,0.02,123,90,48,75,123.0,-6.7557302,-0.054924635772357726,-0.2968226609392126,0.21181575940249264,10000,20.2199008,20.2199008,0.17749143949513002,0.46117801440734163,0.3902439024390244,93,2.55
fixed_50_50_logit_blend,quote_age_band,over_12_to_24h,0.05,123,90,48,75,123.0,-8.844840500000004,-0.07190927235772361,-0.3088464064616489,0.18946129528611488,10000,21.070312000000005,21.070312000000005,0.17749143949513002,0.46117801440734163,0.3902439024390244,93,2.55
fixed_50_50_logit_blend,quote_age_band,over_1_to_6h,0.0,235,136,82,153,235.0,-32.39893,-0.13786778723404255,-0.2889556685855263,0.023625019906919384,10000,45.128859999999996,45.12886,0.2092240082747663,0.4361271486016374,0.34893617021276596,183,2.7
