date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,current_logistic_probability,division,division_group,group_model_probability,group_model_status,global_only_probability,shared_pooling_weight_probability,group_specific_pooling_weights_probability,fully_separate_groups_probability
2022-09-17,8d477c3fbe001f9d,ec0740be19b2ef90,4e30e4250cb08b61,cffb87059e645bd1,Loma Lookboonmee,Denise Gomes,1,0.519034928725419,Women's Strawweight,womens_all,0.526418267180945,separate_group_model,0.519034928725419,0.522727839496665,0.522727839496665,0.526418267180945
2022-09-17,8d477c3fbe001f9d,46b9acec12a35d37,afe8d5b39ff7fca2,b27a1fcb56a3035a,Louis Cosce,Trevin Giles,0,0.407290311377201,Welterweight,mens_welter_to_middle,0.322533220412365,separate_group_model,0.407290311377201,0.363856077493289,0.407290311377201,0.322533220412365
2022-09-17,8d477c3fbe001f9d,f521ecde1e96a1bd,29af297d9f1de0f8,b8bbdeff718dbb7d,Damon Jackson,Pat Sabatini,1,0.393733626502343,Featherweight,mens_below_welterweight,0.357106499791158,separate_group_model,0.393733626502343,0.375241598916166,0.384445869652712,0.357106499791158
2022-09-17,8d477c3fbe001f9d,ce5ebaf8caf8c4a7,093e1f5bb73850be,8e9eb3fc86db0f7d,Anthony Hernandez,Marc-Andre Barriault,1,0.639277589205069,Middleweight,mens_welter_to_middle,0.539890641814227,separate_group_model,0.639277589205069,0.590508100282862,0.639277589205069,0.539890641814227
2022-09-17,8d477c3fbe001f9d,3cbd3565dd631cc4,04c8b08b16a5b99e,d31a5546c0e9b213,Tanner Boser,Rodrigo Nascimento,0,0.684942916579637,Heavyweight,mens_light_heavy_plus,0.685375363054002,separate_group_model,0.684942916579637,0.685159179946661,0.685267281536787,0.685375363054002
2022-09-17,8d477c3fbe001f9d,160c17b8fcb0e2a1,70fa1c64a2c439ef,c1085e1701b13eca,Alen Amedovski,Joe Pyfer,0,0.162776662046453,Middleweight,mens_welter_to_middle,0.191874015463741,separate_group_model,0.162776662046453,0.176855990427087,0.162776662046453,0.191874015463741
2022-09-17,8d477c3fbe001f9d,adb78db5ba8ccc0f,8fd808923cffff82,9abc648e76c4493a,Andre Fili,Bill Algeo,1,0.336186826458243,Featherweight,mens_below_welterweight,0.327431505072828,separate_group_model,0.336186826458243,0.331794626584084,0.333987127101821,0.327431505072828
2022-09-17,8d477c3fbe001f9d,bd06f1c2d7e6c4a0,c68c68efaa5ca6ef,d1c65d2cf2925ddd,Chidi Njokuani,Gregory Rodrigues,0,0.465479874779137,Middleweight,mens_welter_to_middle,0.479643985225201,separate_group_model,0.465479874779137,0.472556407579573,0.465479874779137,0.479643985225201
2022-09-17,8d477c3fbe001f9d,df370b97ea49e6b4,65f09bacd3957381,efb96bf3e9ada36f,Cory Sandhagen,Song Yadong,1,0.430878472417654,Bantamweight,mens_below_welterweight,0.397715755851549,separate_group_model,0.430878472417654,0.414199894570633,0.42251709950899,0.397715755851549
2022-10-01,4f670b7972fa0a2e,6c79db79da9ae874,325ad0dd9126d3df,d05412b513b19621,Randy Costa,Guido Cannetti,0,0.682124617180882,Bantamweight,mens_below_welterweight,0.708162861460701,separate_group_model,0.682124617180882,0.695299967122363,0.688750501289744,0.708162861460701
2022-10-01,4f670b7972fa0a2e,ad59e2de1ab5c8d2,a78a87d8c2bbb1cb,af9efbfd63d39734,Julija Stoliarenko,Chelsea Chandler,0,0.383539169886112,Catch Weight,unclassified,0.383539169886112,global_fallback_unclassified,0.383539169886112,0.383539169886112,0.383539169886112,0.383539169886112
2022-10-01,4f670b7972fa0a2e,8c9ff13791378784,2f181c0467965b98,4e06913c91da5200,Brendan Allen,Krzysztof Jotko,1,0.526919467700388,Middleweight,mens_welter_to_middle,0.574525527244568,separate_group_model,0.526919467700388,0.55083891641225,0.526919467700388,0.574525527244568
2022-10-01,4f670b7972fa0a2e,ecc56a86a1eead9d,5580771f383e141f,ae7fe94f117f98cf,Jesse Ronson,Joaquim Silva,0,0.506508476353147,Lightweight,mens_below_welterweight,0.513519606507848,separate_group_model,0.506508476353147,0.510014533901938,0.508261606710577,0.513519606507848
2022-10-01,4f670b7972fa0a2e,de93fda66d203c26,98c23cb6da5b3352,e9a3aeb207578eea,Aleksei Oleinik,Ilir Latifi,0,0.335437538350913,Heavyweight,mens_light_heavy_plus,0.518152150576028,separate_group_model,0.335437538350913,0.424207094584866,0.470922127611913,0.518152150576028
2022-10-01,4f670b7972fa0a2e,63f6af6d5f7b82ad,5fa2974cbd18e05c,b67d6bacc68d4c92,John Castaneda,Daniel Santos,0,0.649980466971563,Catch Weight,unclassified,0.649980466971563,global_fallback_unclassified,0.649980466971563,0.649980466971563,0.649980466971563,0.649980466971563
2022-10-01,4f670b7972fa0a2e,330506571d2778b1,19c591115a58982c,fb3e61720be4690c,Viacheslav Borshchev,Mike Davis,0,0.431474318236084,Lightweight,mens_below_welterweight,0.332197735586232,separate_group_model,0.431474318236084,0.380588730610102,0.405778595308322,0.332197735586232
2022-10-01,4f670b7972fa0a2e,1aedd959f1523a27,94426bb170c88115,da4628f173337902,Sodiq Yusuff,Don Shainis,1,0.809980499607975,Featherweight,mens_below_welterweight,0.814725139470715,separate_group_model,0.809980499607975,0.812364352252981,0.811175312140358,0.814725139470715
2022-10-01,4f670b7972fa0a2e,a73e33dfce8fcfd8,b9f28e7045fdfce7,ec23c1be628d8057,Raoni Barcelos,Trevin Jones,1,0.641338102310656,Bantamweight,mens_below_welterweight,0.685535881979494,separate_group_model,0.641338102310656,0.663795328015431,0.652651610155882,0.685535881979494
2022-10-01,4f670b7972fa0a2e,7d0d2cecab358ba1,a8283a4f415e1eb9,c6aee362c7a7d482,Francisco Trinaldo,Randy Brown,0,0.31037501406955,Welterweight,mens_welter_to_middle,0.388576622234522,separate_group_model,0.31037501406955,0.348455999632348,0.31037501406955,0.388576622234522
2022-10-01,4f670b7972fa0a2e,d33814971932422a,7447e9f28508106a,c41d426cc7326d1b,Mackenzie Dern,Yan Xiaonan,0,0.617824348493846,Women's Strawweight,womens_all,0.529704326632413,separate_group_model,0.617824348493846,0.574354662882284,0.574354662882284,0.529704326632413
2022-10-15,49c29e57d4e2be6f,84b04e8d6b251c54,0641c21bec209472,776d4262c4da38bf,Mike Jackson,Pete Rodriguez,0,0.46977752784718,Welterweight,mens_welter_to_middle,0.59229747486282,separate_group_model,0.46977752784718,0.531512396178359,0.46977752784718,0.59229747486282
2022-10-15,49c29e57d4e2be6f,fac560495e61d34c,077e3ace32b72be9,4461d7e47375a895,CJ Vergara,Tatsuro Taira,0,0.295036850755245,Flyweight,mens_below_welterweight,0.327225457867303,separate_group_model,0.295036850755245,0.310902574728653,0.302910977986208,0.327225457867303
2022-10-15,49c29e57d4e2be6f,60bd4d2878c85f70,e375cb5caf4717b6,e94085e821bd81de,Piera Rodriguez,Sam Hughes,1,0.555305437048403,Women's Strawweight,womens_all,0.509812414927202,separate_group_model,0.555305437048403,0.532626738926555,0.532626738926555,0.509812414927202
2022-10-15,49c29e57d4e2be6f,b4bbc1b7efa770f5,11583163f45c7b31,791c8437b341fba5,Lucas Alexander,Joanderson Brito,0,0.445746521880208,Featherweight,mens_below_welterweight,0.441293120531464,separate_group_model,0.445746521880208,0.443518686545566,0.444632325997718,0.441293120531464
2022-10-15,49c29e57d4e2be6f,860050f211b44d10,12585614e0ed2626,d4270315cbcf2569,Nick Maximov,Jacob Malkoun,0,0.477004192604183,Middleweight,mens_welter_to_middle,0.564309621585696,separate_group_model,0.477004192604183,0.520815843774229,0.477004192604183,0.564309621585696
2022-10-15,49c29e57d4e2be6f,8252a314c778b8e6,c0386644627a7ee5,cc351e408bbb7d43,Mana Martinez,Brandon Davis,1,0.495686717316568,Bantamweight,mens_below_welterweight,0.60790083226579,separate_group_model,0.495686717316568,0.552461630800302,0.524152207550643,0.60790083226579
