date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,current_82_probability,robust_82_probability,correlation_pruned_probability,selected_baseline_probability,selected_plus_derived_probability,elastic_full_pool_probability,svd_full_pool_probability
2022-02-05,883922e5cd6d8473,4b67a1875390e7ad,0a1942069c9ad6b6,0d8011111be000b2,Jack Hermansson,Sean Strickland,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.383545877208548,0.403558114260152,0.426720065986226,0.376436729165994,0.36124855190698,0.336188799237943,0.301997325043737
2022-02-05,883922e5cd6d8473,673ed36fa5c12d5f,4c2d90e335e6df19,a78a87d8c2bbb1cb,Alexis Davis,Julija Stoliarenko,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.573799750664707,0.555046063081988,0.589174400285406,0.577106618762738,0.581792646385148,0.567628953736079,0.564654864401192
2022-02-05,883922e5cd6d8473,6b4c2cc27855506a,01afe0916a40c7c5,a53d30163304aa6e,Shavkat Rakhmonov,Carlston Harris,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.609303638886546,0.608914576345705,0.604634585013203,0.627052362313657,0.65306761444698,0.644135545885008,0.63904711405535
2022-02-05,883922e5cd6d8473,84ebbad426d25713,2c9d00968f818270,5bf31a46becc1204,Hakeem Dawodu,Michael Trizano,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.564569763022088,0.566451392702821,0.56939518071293,0.571331958503404,0.529271710307996,0.518652412658033,0.523732252047694
2022-02-05,883922e5cd6d8473,ace166f26c2ac2e8,12585614e0ed2626,64facb6cc564262d,Nick Maximov,Punahele Soriano,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.51029605978278,0.508388967187407,0.492257752059699,0.523044658802578,0.487061643797507,0.498364017542233,0.463967862700147
2022-02-05,883922e5cd6d8473,c816a969cb001168,46e0d677f91bacc0,5fa2974cbd18e05c,Miles Johns,John Castaneda,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.677342989748601,0.661658495545902,0.637261738082994,0.677778785675874,0.665157199632097,0.644537946563888,0.694315087568533
2022-02-05,883922e5cd6d8473,e82f15afac3dac93,41e83a89929d1327,687c15b2eddfaa63,Jailton Almeida,Danilo Marques,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.410722061791196,0.411521462038821,0.420443214685726,0.410114783280729,0.425111394819555,0.440435532321157,0.435870854728346
2022-02-05,883922e5cd6d8473,f9ab966e63968c15,8e9eb3fc86db0f7d,c68c68efaa5ca6ef,Marc-Andre Barriault,Chidi Njokuani,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.588557490048421,0.591094964899647,0.584909079775848,0.590160877393259,0.588531275856158,0.579167921185176,0.574582089436106
2022-02-12,cbb682f5fcc44bfc,18a1617ee7356352,13a0275fa13c4d26,b1a3e0aca758b322,Jared Cannonier,Derek Brunson,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.323150503013799,0.339234580103253,0.34680457397013,0.308401986319705,0.288597323356792,0.303154328015087,0.283520107158436
2022-02-12,cbb682f5fcc44bfc,19e742ccaa09cf08,c0386644627a7ee5,e7e01e266a9d4342,Mana Martinez,Ronnie Lawrence,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.293965708443875,0.292703452236435,0.299100399516693,0.298383417190096,0.312156506914842,0.326948823151779,0.328170947872976
2022-02-12,cbb682f5fcc44bfc,238832b58a66ae07,262a7d06203657e6,b6452706b373eea1,Alexander Hernandez,Renato Moicano,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.571034137889971,0.561297328833337,0.571750221566651,0.556789095989774,0.491919876342926,0.564678339037333,0.529489706548535
2022-02-12,cbb682f5fcc44bfc,388adad23aaa9d39,887961364be5ceb3,b7b84ccd221be298,King Green,Nasrat Haqparast,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.446571199077031,0.444736109773668,0.44482104318844,0.430644156344088,0.43651715957023,0.444593981591871,0.421481177286317
2022-02-12,cbb682f5fcc44bfc,3bebd99d5f94bec7,78a68f1dade6aaf7,9014c02eff8b3d62,Fabio Cherant,Carlos Ulberg,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.449772507661296,0.451603443615384,0.464923167250707,0.449074967987404,0.490667066898378,0.508876428187859,0.50278378308925
2022-02-12,cbb682f5fcc44bfc,507080ccded73591,9edf2c9082cc2cd8,d66a46de8d705353,Blood Diamond,Jeremiah Wells,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.439979865959268,0.437254055401967,0.421908737255897,0.44568507476775,0.382943450887124,0.397454921385065,0.410148406233872
2022-02-12,cbb682f5fcc44bfc,6708f3a32861038a,5da33b8fbfa5ee95,950d0ef5c17157c5,William Knight,Maxim Grishin,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.583203155859621,0.574373645165829,0.557513132620977,0.596339470722834,0.562811219930898,0.576521609604358,0.600709782403511
2022-02-12,cbb682f5fcc44bfc,81c22cfa22002ea4,2b68d9f125d07b42,3738e68d2261e60f,Jared Vanderaa,Andrei Arlovski,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.46367949375678,0.482343683354668,0.48276354737534,0.474686576896456,0.46691035449115,0.472458314242103,0.431790185580975
2022-02-12,cbb682f5fcc44bfc,821bef3a3394dd96,2f6a993c7f547c13,3a314d9fa7c6825d,Sergey Morozov,Douglas Silva de Andrade,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.630893909008424,0.6391584158036,0.6449926200234,0.620271577829204,0.647769606056415,0.625485208983276,0.608290168201468
2022-02-12,cbb682f5fcc44bfc,a0ba726da4a50458,2804ce8dadab5770,60425d07ef4b91a7,Marcelo Rojo,Kyler Phillips,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.135268136403072,0.13965181929165,0.158914888868295,0.120385576474159,0.122227937961344,0.148989020931708,0.143269381628415
2022-02-12,cbb682f5fcc44bfc,b1e048825b5bbe1c,04835018f90b118c,4498b382c65a7faa,Casey O'Neill,Roxanne Modafferi,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.88862486025955,0.879185986870528,0.864351010889199,0.895152175762661,0.91588160371418,0.901915724207951,0.911208550240452
2022-02-12,cbb682f5fcc44bfc,bb42336d6417914c,c62fbc117d57b943,d3df1add9d9a7efb,Tai Tuivasa,Derrick Lewis,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.452226076700275,0.441901739397958,0.458845229912832,0.470114263329554,0.462874570369312,0.456271720753199,0.470753090279737
2022-02-12,cbb682f5fcc44bfc,c16bda7548181613,009c4420727149ea,d4270315cbcf2569,AJ Dobson,Jacob Malkoun,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.353022974984986,0.346300995863705,0.353563844649217,0.338011914312481,0.347292204303451,0.359643081054735,0.395213070304181
2022-02-12,cbb682f5fcc44bfc,ca8f73d038c4d6e7,1338e2c7480bdf9e,e1147d3d2dabe1ce,Israel Adesanya,Robert Whittaker,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.605150432748735,0.608713209657675,0.625663771861521,0.602289314734518,0.588064050543594,0.572373230461737,0.580356000419009
2022-02-19,77940e45bc86208e,04e2d50c24a88dbd,b9437600497350f3,eae431e70064e046,Joaquin Buckley,Abdul Razak Alhassan,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.591581270717081,0.591415376928334,0.559904382176476,0.609366233353646,0.613621342110382,0.624328651884306,0.638883859507984
