date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,current_logistic_probability,previous_bayesian_probit_probability,bayesian_logistic_probability,bayesian_logistic_lower_probability,bayesian_logistic_upper_probability,selected_logistic_bayesian_blend_probability
2023-02-04,d26394fc0e8e880a,b1b20c686dfe3204,57186c150c645200,a72a2a769fa5a2be,Jeka Saragih,Anshul Jubli,0,0.503372266171837,0.511923747338497,0.515320221490662,0.486119659903193,0.54404916648419,0.509900352906434
2023-02-04,d26394fc0e8e880a,c63d8062c89c4c33,21b5c82c1b89dab1,a01a62132460a98d,Yusaku Kinoshita,Adam Fugitt,0,0.636601174251566,0.577481234107045,0.628823355770735,0.555520808594721,0.702372911871595,0.632360989342019
2023-02-04,d26394fc0e8e880a,8741e6a3a5a22a7f,1788eee370f077b7,c9cf753cfdf77fc2,Blagoy Ivanov,Marcin Tybura,0,0.388749881394931,0.486557714426271,0.410856808234689,0.336706432005734,0.488713791588325,0.400775649881444
2023-02-04,d26394fc0e8e880a,7a1abc0230af730c,74f9448b97bf8bec,cc7040fe76f0ef91,Da Woon Jung,Devin Clark,0,0.767055042829266,0.75711234727382,0.780255094535232,0.699939472689627,0.847076913614176,0.774333276782844
2023-02-04,d26394fc0e8e880a,caeeb398f73d213a,d3df1add9d9a7efb,e2f6b2769aaedd6c,Derrick Lewis,Serghei Spivac,0,0.289882712629965,0.370434505296751,0.298743219318971,0.217584717861332,0.395275526354466,0.29470362220481
2023-02-11,01dd4cdc2446f665,0ac5fc42ba039211,48a9a128784d53d1,aceffa19749c4dc0,Elves Brener,Zubaira Tukhugov,1,0.408205768174837,0.412732722869955,0.408917232682716,0.327117907429254,0.49223913292387,0.408594368114009
2023-02-11,01dd4cdc2446f665,5c962ea13cb9b937,4cd8b03aee1d0138,5095b0920a3602aa,Shane Young,Blake Bilder,0,0.556253479336483,0.617821205852608,0.598180465516061,0.523140669502882,0.672546680690901,0.579295896191439
2023-02-11,01dd4cdc2446f665,51a12878b151d67b,4e30e4250cb08b61,ac7c765882f2c68c,Loma Lookboonmee,Elise Reed,1,0.681706029810026,0.699527300985705,0.70138509099787,0.640716322223986,0.760348364152649,0.692542320251368
2023-02-11,01dd4cdc2446f665,28af78600d6580f1,a9da3158dd2c2b5a,da4628f173337902,Jack Jenkins,Don Shainis,1,0.515581415966512,0.459760090380179,0.490637604198847,0.426259488223464,0.552733311778585,0.501957192956309
2023-02-11,01dd4cdc2446f665,a37a6b6f9551a6e8,3920d0cc288f9b0d,af9f42e6894047fc,Francisco Prado,Jamie Mullarkey,0,0.445375138815401,0.432874252591194,0.434997175547923,0.367011641516212,0.50226959368683,0.439699534440745
2023-02-11,01dd4cdc2446f665,16dbe70eb7007f17,102a8fdf8cbf7467,51c655162e462ceb,Kleydson Rodrigues,Shannon Ross,1,0.598702002584963,0.674540938826589,0.634576283906237,0.5655961737241,0.704299291188116,0.618457105943072
2023-02-11,01dd4cdc2446f665,8b7bc2af1e15b668,6751eacd16bd59bc,a52bc1e62cf0b7c6,Josh Culibao,Melsik Baghdasaryan,1,0.478746862384043,0.464326154459546,0.478567883818616,0.410354740743163,0.550236025623794,0.478649092167394
2023-02-11,01dd4cdc2446f665,ca2672e68fedf4b7,476fe566d2df676e,49e96ff8ab781589,Modestas Bukauskas,Tyson Pedro,1,0.284471874913747,0.34307165527257,0.286645735495887,0.199604126319001,0.386803461424641,0.285658145509161
2023-02-11,01dd4cdc2446f665,da22d5a717ae9e35,ac40f7e3cbecdda4,e13abac8089a801a,Parker Porter,Justin Tafa,0,0.383281325127398,0.357198992283746,0.352405220317332,0.28240104453481,0.428339692273802,0.366279970815958
2023-02-11,01dd4cdc2446f665,4f672dd40867d8c6,6b453bc35a823c3f,c6aee362c7a7d482,Jack Della Maddalena,Randy Brown,1,0.600764547568597,0.538870830997543,0.585735695712666,0.48697119239929,0.679961098647116,0.592576417195338
2023-02-11,01dd4cdc2446f665,2208b9f471a201d9,cbf5e6f231b55443,fba03cd6cc28dc41,Yair Rodriguez,Josh Emmett,1,0.512690077094642,0.506267299026806,0.518417816654313,0.430056815230667,0.609957793948026,0.515819443997978
2023-02-11,01dd4cdc2446f665,256894b49303537b,275aca31f61ba28c,e1248941344b3288,Islam Makhachev,Alexander Volkanovski,1,0.553820021548188,0.396805975651322,0.495262344957896,0.334819592663453,0.653244736901685,0.52191292553762
2023-02-18,f21a3d68fb9df387,40781a64c4cea877,4a043165cf47cab2,b62d5280966b2460,Juancamilo Ronderos,Clayton Carpenter,0,0.536438221831874,0.592729700968525,0.568786882124015,0.5103918014597,0.629243746589128,0.554164894844161
2023-02-18,f21a3d68fb9df387,435ba9b407b844ef,40f3cb27fc7305a1,725b1abc9a39d873,Themba Gorimbo,AJ Fletcher,0,0.513907038200752,0.501940490819458,0.511405042740859,0.427124079371851,0.595533303851462,0.512540366646335
2023-02-18,f21a3d68fb9df387,3d46d635f9ae5e68,50db8711c70196cd,53c943c873cffe90,Ovince Saint Preux,Philipe Lins,0,0.539210854536585,0.500396839427045,0.54028037264722,0.462905408131458,0.612753983740578,0.539795139100443
2023-02-18,f21a3d68fb9df387,43ec12079ccc371c,5c10da56d712ac9c,e00a3dee329a51f7,Khusein Askhabov,Jamall Emmers,0,0.433294981198973,0.39027077429784,0.415991312218206,0.353827033663249,0.478886810408106,0.423819636370015
2023-02-18,f21a3d68fb9df387,c3a4187fc821bfff,2eeaefbfc7f9fcff,cc8c623cca88f54f,Lina Lansberg,Mayra Bueno Silva,0,0.163715162895135,0.196959241249167,0.144949066451771,0.0968077829717721,0.200693767015438,0.15323260050058
