date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,evaluation_year,training_start,training_through,selected_c,calibration_slope,current_model_probability,selected_rankings_probability,all_rankings_probability,expanded_history_probability,expanded_history_features_changed,expanded_history_all_rankings_probability,market_probability,book_count,fixed_equal_logit_blend_probability,blend_probability,blend_status,selected_gamma
2022-02-12,cbb682f5fcc44bfc,b1e048825b5bbe1c,04835018f90b118c,4498b382c65a7faa,Casey O'Neill,Roxanne Modafferi,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.88862486025955,0.88390162289624,0.839610234897585,0.882560850344561,True,0.839452358459672,,,,,,
2022-02-12,cbb682f5fcc44bfc,bb42336d6417914c,c62fbc117d57b943,d3df1add9d9a7efb,Tai Tuivasa,Derrick Lewis,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.452226076700275,0.4621168077503,0.433923652934194,0.444977918418525,True,0.422920207771141,,,,,,
2022-02-12,cbb682f5fcc44bfc,c16bda7548181613,009c4420727149ea,d4270315cbcf2569,AJ Dobson,Jacob Malkoun,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.353022974984986,0.350842631696294,0.363090550037213,0.339464753097633,True,0.348113806483102,,,,,,
2022-02-12,cbb682f5fcc44bfc,ca8f73d038c4d6e7,1338e2c7480bdf9e,e1147d3d2dabe1ce,Israel Adesanya,Robert Whittaker,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.605150432748735,0.694153791631535,0.69655752551068,0.634288801216401,True,0.717136272360854,,,,,,
2022-02-19,77940e45bc86208e,04e2d50c24a88dbd,b9437600497350f3,eae431e70064e046,Joaquin Buckley,Abdul Razak Alhassan,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.591581270717081,0.592089184001607,0.59059218318327,0.608517767167704,True,0.599731493299517,,,,,,
2022-02-19,77940e45bc86208e,25da52bc590ef664,436f970c9ea9169c,ffe9703408fb5964,Gabriel Benitez,David Onama,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.333047747558516,0.334509125580296,0.319099400220334,0.401896219741377,True,0.383959079185622,,,,,,
2022-02-19,77940e45bc86208e,2d8db91f91f68069,4bd6b4800070b069,ef1182eb28c17d4e,Chas Skelly,Mark Striegl,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.519747988671306,0.517230903103368,0.49918869380939,0.641885029045894,True,0.611997964550251,,,,,,
2022-02-19,77940e45bc86208e,33cc40fc1da409d3,5dd180c8b3196786,d7e40dca3ae125be,Gloria de Paula,Diana Belbita,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.414899504193014,0.417648187117457,0.424271099415462,0.474177637643331,True,0.471685719838476,,,,,,
2022-02-19,77940e45bc86208e,528c208293bdef13,5ec591b78349ba7e,87c0b1c696ddfb43,Christian Rodriguez,Jonathan Pearce,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.386573481036791,0.387452540812525,0.407805300694902,0.51632844394648,True,0.53343248308277,,,,,,
2022-02-19,77940e45bc86208e,8cd583f6d10692bc,01fed6f61ebea01f,bc711b6dd95c1af6,Jay Perrin,Mario Bautista,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.48514334658682,0.486191228148573,0.510963319916522,0.538552248246129,True,0.564947557035011,,,,,,
2022-02-19,77940e45bc86208e,93026443e5140415,ac40f7e3cbecdda4,c9a94278df042f46,Parker Porter,Alan Baudot,1,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.414813887234825,0.415771364582132,0.420196325429416,0.458481157971624,True,0.46240163234858,,,,,,
2022-02-19,77940e45bc86208e,958799d957945a3a,37f560436d745c18,d1941565abf50b16,Nikolas Motta,Jim Miller,0,2022,2012-01-14,2021-12-18,0.003,1.13990173070693,0.53389052572671,0.533306411015629,0.520051248553475,0.518874454441277,True,0.499763327461566,,,,,,
