date,event_id,fight_id,fighter_id,opponent_id,fighter,opponent,target,current_logistic_probability,division,division_group,group_model_probability,group_model_status,global_only_probability,shared_pooling_weight_probability,group_specific_pooling_weights_probability,fully_separate_groups_probability
2023-09-16,8fa2b06572365321,11318a7807cee8ca,971dba22c622af12,b6203e0492a9336c,Josefine Knutsson,Marnic Mann,1,0.505428585593186,Women's Strawweight,womens_all,0.541194358002402,separate_group_model,0.505428585593186,0.523341395015552,0.523341395015552,0.541194358002402
2023-09-16,8fa2b06572365321,58b2fdad7af9be02,b39f7a6c2be17ee8,dc07493a87dc0a6e,Charlie Campbell,Alex Reyes,1,0.600919097947493,Lightweight,mens_below_welterweight,0.649047961307753,separate_group_model,0.600919097947493,0.625293151297241,0.613176991097751,0.649047961307753
2023-09-16,8fa2b06572365321,bcec26b425194e40,68d4a891e5cf2029,a9e260472d321361,Tracy Cortez,Jasmine Jasudavicius,1,0.62763119676105,Women's Flyweight,womens_all,0.537830966937197,separate_group_model,0.62763119676105,0.583422910049165,0.583422910049165,0.537830966937197
2023-09-16,8fa2b06572365321,7a0813ec0fadc84e,9d83f6da776ff7d6,ca43de99b07b6b40,Roman Kopylov,Josh Fremd,1,0.597274425880277,Middleweight,mens_welter_to_middle,0.537445403085166,separate_group_model,0.597274425880277,0.567606402395087,0.597274425880277,0.537445403085166
2023-09-16,8fa2b06572365321,79f03eca3fe5cdb3,8e5d953bdb9ae5e7,ac7c765882f2c68c,Loopy Godinez,Elise Reed,1,0.770326947233139,Women's Strawweight,womens_all,0.611011151351142,separate_group_model,0.770326947233139,0.696537035091771,0.696537035091771,0.611011151351142
2023-09-16,8fa2b06572365321,a5d76e93a5052e3f,31f8081c7600da93,d2f43cfaf8ca3560,Kyle Nelson,Fernando Padilla,1,0.272625281318391,Featherweight,mens_below_welterweight,0.265047224619718,separate_group_model,0.272625281318391,0.268819367493449,0.27071811895298,0.265047224619718
2023-09-16,8fa2b06572365321,2e1435c160bfe8b2,4148802ae4a50768,de45aaae23dfa392,Daniel Zellhuber,Christos Giagos,1,0.633822648592393,Lightweight,mens_below_welterweight,0.637258681425803,separate_group_model,0.633822648592393,0.635542392189819,0.634682949881198,0.637258681425803
2023-09-16,8fa2b06572365321,c0ca4c201d086ea8,f3ca6908f78efebe,fe2babf95de24fb1,Terrence Mitchell,Raul Rosas Jr.,0,0.335091388429117,Bantamweight,mens_below_welterweight,0.271511530562062,separate_group_model,0.335091388429117,0.302355380623419,0.31849940243022,0.271511530562062
2023-09-16,8fa2b06572365321,697efaf0d162e877,3a46b268013afede,6b453bc35a823c3f,Kevin Holland,Jack Della Maddalena,0,0.373693835195873,Welterweight,mens_welter_to_middle,0.355151417227364,separate_group_model,0.373693835195873,0.364372292356249,0.373693835195873,0.355151417227364
2023-09-23,c945adc22c2bfe8f,0732e6b6eb0a607d,4f3064faf17aa711,60193e707634e560,Tamires Vidal,Montserrat Rendon,0,0.654899516890535,Women's Bantamweight,womens_all,0.65665580522622,separate_group_model,0.654899516890535,0.655778193219073,0.655778193219073,0.65665580522622
2023-09-23,c945adc22c2bfe8f,adb411b0f418ce33,26e3f3928b1891d9,43a59ce3bb40449e,Hannah Goldy,Mizuki,0,0.373719592327338,Women's Strawweight,womens_all,0.430078349660351,separate_group_model,0.373719592327338,0.401573779007604,0.401573779007604,0.430078349660351
2023-09-23,c945adc22c2bfe8f,49ede01b061cfae3,92fa1401b7927da3,da7f113b5ea39c43,Jake Collier,Mohammed Usman,0,0.315343575833698,Heavyweight,mens_light_heavy_plus,0.230113257184109,separate_group_model,0.315343575833698,0.270623186168125,0.249820950016526,0.230113257184109
2023-09-23,c945adc22c2bfe8f,1496969c1497dc85,d4270315cbcf2569,f14f644d41ade29f,Jacob Malkoun,Cody Brundage,0,0.772076110323348,Middleweight,mens_welter_to_middle,0.717913451137586,separate_group_model,0.772076110323348,0.745945405483765,0.772076110323348,0.717913451137586
2023-09-23,c945adc22c2bfe8f,b3c7a5a97978d156,33efaf2d0941cfcf,4b47e71384a9522f,Andre Fialho,Tim Means,0,0.471112520624293,Welterweight,mens_welter_to_middle,0.427737036819763,separate_group_model,0.471112520624293,0.449328456235942,0.471112520624293,0.427737036819763
2023-09-23,c945adc22c2bfe8f,6e1bf1b163b3aeab,1ae8f3c723aacff4,f1d64ae34e088832,Ricardo Ramos,Charles Jourdain,0,0.518565620921618,Featherweight,mens_below_welterweight,0.578476287439743,separate_group_model,0.518565620921618,0.548697410971771,0.533662217739448,0.578476287439743
2023-09-23,c945adc22c2bfe8f,bf647be41de365e4,725b1abc9a39d873,f626118b6da0e020,AJ Fletcher,Bryan Battle,0,0.301566402956016,Welterweight,mens_welter_to_middle,0.325750453599129,separate_group_model,0.301566402956016,0.31353176424536,0.301566402956016,0.325750453599129
2023-09-23,c945adc22c2bfe8f,d8335b728604b222,cd2c4d30c6e13b47,eb04b9d31e938edb,Marina Rodriguez,Michelle Waterson-Gomez,1,0.650811219684436,Women's Strawweight,womens_all,0.602266287154994,separate_group_model,0.650811219684436,0.626858221880034,0.626858221880034,0.602266287154994
2023-09-23,c945adc22c2bfe8f,da1b37edb8ccd3e6,82a5152216251682,d9c6f19f958643e9,Dan Ige,Bryce Mitchell,0,0.497901442222387,Featherweight,mens_below_welterweight,0.536220039642595,separate_group_model,0.497901442222387,0.517085857637797,0.507496409542205,0.536220039642595
2023-09-23,c945adc22c2bfe8f,23a604f460289271,72db2a14ffa73ece,c814b4c899793af6,Mateusz Gamrot,Rafael Fiziev,1,0.64140603296244,Lightweight,mens_below_welterweight,0.598485730119411,separate_group_model,0.64140603296244,0.620180819639186,0.630856711039112,0.598485730119411
2023-10-07,c8a49ff2acb6f3c5,cc4fcfede19bc196,6fd953151d981979,80d8aed0ca9b00f3,JJ Aldrich,Montana De La Rosa,1,0.615804162690257,Women's Flyweight,womens_all,0.48239345993733,separate_group_model,0.615804162690257,0.549997512411166,0.549997512411166,0.48239345993733
2023-10-07,c8a49ff2acb6f3c5,df146b0592259e5d,7d420039bbfe7c1a,f6bcbd91b114ff58,Aoriqileng,Johnny Munoz,1,0.401717254120954,Bantamweight,mens_below_welterweight,0.4832774239143,separate_group_model,0.401717254120954,0.442107034161398,0.421781347790277,0.4832774239143
2023-10-07,c8a49ff2acb6f3c5,5ee83e03aaff5fa1,2c483cf443f38ece,e0b0cf71e0d69dd0,Vanessa Demopoulos,Kanako Murata,1,0.375891634966967,Women's Strawweight,womens_all,0.531403551523777,separate_group_model,0.375891634966967,0.452488362074435,0.452488362074435,0.531403551523777
