date,fight_url,event_url,fighter_url,opponent_url,fighter,opponent,result,method,division,round,time,time_format,total_fight_time,source_card_index,bout_order,emit_training_target,history_source,knockdowns,sig_strikes_landed,sig_strikes_attempts,total_strikes_landed,total_strikes_attempts,takedowns_landed,takedowns_attempts,sub_attempts,reversals,control
2009-04-10,https://external-mma.invalid/fight-details/external_83bce64b11d1adf01a78fb6818348f29,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_60a26493095ae70eedb35a49,https://external-mma.invalid/fighter-details/external_5ff12c01cd4bfab1f5fae695,Jesse Juarez,Mikey Gomez,W,KO/TKO,Unknown,1.0,,,,6,2,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_83bce64b11d1adf01a78fb6818348f29,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_5ff12c01cd4bfab1f5fae695,https://external-mma.invalid/fighter-details/external_60a26493095ae70eedb35a49,Mikey Gomez,Jesse Juarez,L,KO/TKO,Unknown,1.0,,,,6,2,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_e78bfd773338212b97f24444fdab1f19,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_9cf0b9af8e15103e0f6a465a,https://external-mma.invalid/fighter-details/external_9ebcde3470b3f2fce8464a08,Omar de la Cruz,Victor Meza,W,U-DEC,Unknown,3.0,,,,5,3,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_e78bfd773338212b97f24444fdab1f19,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_9ebcde3470b3f2fce8464a08,https://external-mma.invalid/fighter-details/external_9cf0b9af8e15103e0f6a465a,Victor Meza,Omar de la Cruz,L,U-DEC,Unknown,3.0,,,,5,3,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_4ac154abca1048d18d7ebc8b9cd369fb,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_d43ede331d2086f806f10fa2,https://external-mma.invalid/fighter-details/external_7c48f3c78afeeac0cabc639c,Eric Reynolds,Thomas Schulte,W,KO/TKO,Unknown,1.0,,,,4,4,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_4ac154abca1048d18d7ebc8b9cd369fb,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_7c48f3c78afeeac0cabc639c,https://external-mma.invalid/fighter-details/external_d43ede331d2086f806f10fa2,Thomas Schulte,Eric Reynolds,L,KO/TKO,Unknown,1.0,,,,4,4,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_f4419810ee24b2e4a74e7defafdc4c7a,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_71f58e07e102e0af6c6e75a2,https://external-mma.invalid/fighter-details/external_764d108d45afc01ebf915fd3,Aaron Romero,Jorge Ortiz,L,U-DEC,Unknown,3.0,,,,3,5,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_f4419810ee24b2e4a74e7defafdc4c7a,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/external_764d108d45afc01ebf915fd3,https://external-mma.invalid/fighter-details/external_71f58e07e102e0af6c6e75a2,Jorge Ortiz,Aaron Romero,W,U-DEC,Unknown,3.0,,,,3,5,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_c1a351958543c49d187b60c7f6c3eed9,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/4b8fb0453a596b8e,https://external-mma.invalid/fighter-details/4e0692ad070976e4,Hector Urbina,Lyman Good,L,SUB,Unknown,2.0,,,,2,6,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_c1a351958543c49d187b60c7f6c3eed9,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/4e0692ad070976e4,https://external-mma.invalid/fighter-details/4b8fb0453a596b8e,Lyman Good,Hector Urbina,W,SUB,Unknown,2.0,,,,2,6,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_405c2ba42f8b86fe78a8be5699b0b3bf,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/76729a829623e266,https://external-mma.invalid/fighter-details/5aedf14771ca82d2,Henry Martinez,Wilson Reis,L,U-DEC,Unknown,3.0,,,,1,7,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
2009-04-10,https://external-mma.invalid/fight-details/external_405c2ba42f8b86fe78a8be5699b0b3bf,https://external-mma.invalid/event-details/external_bd641a2d293a59d49c19159eecc8722e,https://external-mma.invalid/fighter-details/5aedf14771ca82d2,https://external-mma.invalid/fighter-details/76729a829623e266,Wilson Reis,Henry Martinez,W,U-DEC,Unknown,3.0,,,,1,7,False,kaggle_pro_mma_fights_v1,,,,,,,,,,
