timing,market,staking,payout_reduction,selected_records,shown_settled_records,funded_settled_bets,pending_records,unsupported_records,funded_wins,funded_losses,settled_events,initial_bankroll,ending_bankroll,bankroll_growth,risk_units,profit_units,roi,maximum_drawdown_fraction
first_qualifying,All,half_kelly_sim_blend,0.05,28,5,4,0,23,1,3,1,100,119.76640984553342,0.19766409845533417,37.7944340867379,19.766409845533417,0.5229979049340884,0
first_qualifying,All,half_kelly_model_sim_blend,0,28,1,1,0,27,1,0,1,100,143.98358272640598,0.4398358272640599,8.796716545281196,43.983582726405984,5,0
first_qualifying,All,half_kelly_model_sim_blend,0.02,28,1,1,0,27,1,0,1,100,143.10391107187786,0.43103911071877854,8.796716545281196,43.10391107187786,4.8999999999999995,0
first_qualifying,All,half_kelly_model_sim_blend,0.05,28,1,1,0,27,1,0,1,100,141.78440359008567,0.41784403590085684,8.796716545281196,41.784403590085674,4.749999999999999,0
first_qualifying,Moneyline,full_kelly,0,6,4,4,2,0,1,3,2,100,101.95286701186647,0.01952867011866477,5.363768158075324,1.9528670118664735,0.36408490343236966,0.025016154682979845
first_qualifying,Moneyline,full_kelly,0.02,6,4,4,2,0,1,3,2,100,101.83092309236744,0.018309230923674313,5.363768158075324,1.830923092367442,0.34135015504182986,0.025016154682979845
first_qualifying,Moneyline,full_kelly,0.05,6,4,4,2,0,1,3,2,100,101.6480072131189,0.016480072131189072,5.363768158075324,1.6480072131189019,0.3072480324560215,0.025016154682979845
first_qualifying,Moneyline,half_kelly,0,6,4,4,2,0,1,3,2,100,101.00500680570934,0.010050068057093409,2.700243371542272,1.0050068057093426,0.3721911944312348,0.012508077341489923
first_qualifying,Moneyline,half_kelly,0.02,6,4,4,2,0,1,3,2,100,100.94325263608849,0.009432526360884985,2.700243371542272,0.9432526360884879,0.34932134119071623,0.012508077341489923
first_qualifying,Moneyline,half_kelly,0.05,6,4,4,2,0,1,3,2,100,100.85062138165719,0.008506213816571906,2.700243371542272,0.8506213816571915,0.3150165613299331,0.012508077341489923
first_qualifying,Moneyline,third_kelly,0,6,4,4,2,0,1,3,2,100,100.67635415931203,0.006763541593120204,1.8042420904736498,0.6763541593120266,0.3748688509613862,0.008338718227659995
first_qualifying,Moneyline,third_kelly,0.02,6,4,4,2,0,1,3,2,100,100.63501088848227,0.0063501088848227916,1.8042420904736498,0.6350108884822703,0.35195437011203257,0.008338718227659995
first_qualifying,Moneyline,third_kelly,0.05,6,4,4,2,0,1,3,2,100,100.57299598223763,0.00572995982237634,1.8042420904736498,0.5729959822376287,0.3175826488379981,0.008338718227659995
first_qualifying,Moneyline,flat_one_percent,0,6,4,4,2,0,1,3,2,100,101.92,0.019200000000000106,3.96,1.9200000000000017,0.4848484848484853,0.02
first_qualifying,Moneyline,flat_one_percent,0.02,6,4,4,2,0,1,3,2,100,101.822,0.018220000000000125,3.96,1.8220000000000027,0.4601010101010108,0.02
first_qualifying,Moneyline,flat_one_percent,0.05,6,4,4,2,0,1,3,2,100,101.675,0.016750000000000043,3.96,1.6749999999999972,0.4229797979797973,0.02
first_qualifying,Moneyline,robust_bayesian_kelly,0,6,4,0,2,0,0,0,2,100,100,0,0,0,,0
first_qualifying,Moneyline,robust_bayesian_kelly,0.02,6,4,0,2,0,0,0,2,100,100,0,0,0,,0
first_qualifying,Moneyline,robust_bayesian_kelly,0.05,6,4,0,2,0,0,0,2,100,100,0,0,0,,0
first_qualifying,Moneyline,half_kelly_model_blend,0,6,4,4,0,2,1,3,2,100,98.91530642956599,-0.010846935704340144,18.467037812806648,-1.0846935704340126,-0.05873673847582593,0.1302511881533283
first_qualifying,Moneyline,half_kelly_model_blend,0.02,6,4,4,0,2,1,3,2,100,98.62560069219312,-0.013743993078068839,18.467037812806648,-1.3743993078068826,-0.07442445950122843,0.1302511881533283
first_qualifying,Moneyline,half_kelly_model_blend,0.05,6,4,4,0,2,1,3,2,100,98.1910420861338,-0.018089579138661938,18.467037812806648,-1.8089579138661946,-0.09795604103933259,0.1302511881533283
first_qualifying,Moneyline,half_kelly_sim_blend,0,6,1,1,0,5,1,0,1,100,150.05290776719247,0.5005290776719247,10.010581553438492,50.052907767192465,5.000000000000001,0
first_qualifying,Moneyline,half_kelly_sim_blend,0.02,6,1,1,0,5,1,0,1,100,149.0518496118486,0.4905184961184861,10.010581553438492,49.05184961184861,4.9,0
first_qualifying,Moneyline,half_kelly_sim_blend,0.05,6,1,1,0,5,1,0,1,100,147.55026237883283,0.4755026237883282,10.010581553438492,47.55026237883283,4.749999999999999,0
first_qualifying,Moneyline,half_kelly_model_sim_blend,0,6,1,1,0,5,1,0,1,100,143.98358272640598,0.4398358272640599,8.796716545281196,43.983582726405984,5,0
first_qualifying,Moneyline,half_kelly_model_sim_blend,0.02,6,1,1,0,5,1,0,1,100,143.10391107187786,0.43103911071877854,8.796716545281196,43.10391107187786,4.8999999999999995,0
first_qualifying,Moneyline,half_kelly_model_sim_blend,0.05,6,1,1,0,5,1,0,1,100,141.78440359008567,0.41784403590085684,8.796716545281196,41.784403590085674,4.749999999999999,0
first_qualifying,Total rounds,full_kelly,0,22,11,11,11,0,3,8,1,100,96.24947447040847,-0.03750525529591531,100.00000000000001,-3.7505255295915276,-0.03750525529591527,0.03750525529591528
first_qualifying,Total rounds,full_kelly,0.02,22,11,11,11,0,3,8,1,100,94.85235354040644,-0.05147646459593558,100.00000000000001,-5.14764645959356,-0.05147646459593559,0.0514764645959356
first_qualifying,Total rounds,full_kelly,0.05,22,11,11,11,0,3,8,1,100,92.7566721454034,-0.07243327854596604,100.00000000000001,-7.2433278545966004,-0.072433278545966,0.072433278545966
first_qualifying,Total rounds,half_kelly,0,22,11,11,11,0,3,8,1,100,96.24947447040847,-0.03750525529591531,100.00000000000001,-3.7505255295915276,-0.03750525529591527,0.03750525529591528
first_qualifying,Total rounds,half_kelly,0.02,22,11,11,11,0,3,8,1,100,94.85235354040644,-0.05147646459593558,100.00000000000001,-5.14764645959356,-0.05147646459593559,0.0514764645959356
first_qualifying,Total rounds,half_kelly,0.05,22,11,11,11,0,3,8,1,100,92.7566721454034,-0.07243327854596604,100.00000000000001,-7.2433278545966004,-0.072433278545966,0.072433278545966
first_qualifying,Total rounds,third_kelly,0,22,11,11,11,0,3,8,1,100,96.24947447040847,-0.03750525529591531,100.00000000000001,-3.7505255295915276,-0.03750525529591527,0.03750525529591528
first_qualifying,Total rounds,third_kelly,0.02,22,11,11,11,0,3,8,1,100,94.85235354040645,-0.05147646459593547,100.00000000000001,-5.147646459593545,-0.051476464595935446,0.05147646459593545
first_qualifying,Total rounds,third_kelly,0.05,22,11,11,11,0,3,8,1,100,92.7566721454034,-0.07243327854596604,100.00000000000001,-7.2433278545966004,-0.072433278545966,0.072433278545966
first_qualifying,Total rounds,flat_one_percent,0,22,11,11,11,0,3,8,1,100,99.04,-0.009599999999999942,11,-0.9599999999999937,-0.08727272727272671,0.009599999999999937
first_qualifying,Total rounds,flat_one_percent,0.02,22,11,11,11,0,3,8,1,100,98.8992,-0.011008000000000018,11,-1.1008000000000067,-0.10007272727272788,0.011008000000000066
first_qualifying,Total rounds,flat_one_percent,0.05,22,11,11,11,0,3,8,1,100,98.688,-0.01312000000000002,11,-1.3119999999999976,-0.11927272727272706,0.013119999999999975
first_qualifying,Total rounds,robust_bayesian_kelly,0,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
first_qualifying,Total rounds,robust_bayesian_kelly,0.02,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
first_qualifying,Total rounds,robust_bayesian_kelly,0.05,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
first_qualifying,Total rounds,half_kelly_model_blend,0,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
first_qualifying,Total rounds,half_kelly_model_blend,0.02,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
first_qualifying,Total rounds,half_kelly_model_blend,0.05,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
first_qualifying,Total rounds,half_kelly_sim_blend,0,22,4,3,0,18,0,3,1,100,72.21614746670059,-0.27783852533299414,27.78385253329941,-27.78385253329941,-1,0.2778385253329941
first_qualifying,Total rounds,half_kelly_sim_blend,0.02,22,4,3,0,18,0,3,1,100,72.21614746670059,-0.27783852533299414,27.78385253329941,-27.78385253329941,-1,0.2778385253329941
first_qualifying,Total rounds,half_kelly_sim_blend,0.05,22,4,3,0,18,0,3,1,100,72.21614746670059,-0.27783852533299414,27.78385253329941,-27.78385253329941,-1,0.2778385253329941
first_qualifying,Total rounds,half_kelly_model_sim_blend,0,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
first_qualifying,Total rounds,half_kelly_model_sim_blend,0.02,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
first_qualifying,Total rounds,half_kelly_model_sim_blend,0.05,22,0,0,0,22,0,0,0,100,100,0,0,0,,0
nearest_t48,All,full_kelly,0,28,15,15,13,0,4,11,2,100,95.33049220017935,-0.04669507799820649,100.00000000000001,-4.66950779982065,-0.04669507799820649,0.0466950779982065
nearest_t48,All,full_kelly,0.02,28,15,15,13,0,4,11,2,100,93.94157444156943,-0.06058425558430569,100.00000000000001,-6.058425558430571,-0.0605842555843057,0.06058425558430571
nearest_t48,All,full_kelly,0.05,28,15,15,13,0,4,11,2,100,91.85819780365453,-0.08141802196345471,100.00000000000001,-8.141802196345466,-0.08141802196345466,0.08141802196345466
nearest_t48,All,half_kelly,0,28,15,15,13,0,4,11,2,100,96.5534880222839,-0.034465119777161046,100,-3.4465119777160993,-0.03446511977716099,0.03446511977716099
nearest_t48,All,half_kelly,0.02,28,15,15,13,0,4,11,2,100,95.1467518240874,-0.048532481759125945,100,-4.853248175912597,-0.04853248175912597,0.04853248175912597
nearest_t48,All,half_kelly,0.05,28,15,15,13,0,4,11,2,100,93.03664752679266,-0.0696335247320734,100,-6.963352473207337,-0.06963352473207336,0.06963352473207336
nearest_t48,All,third_kelly,0,28,15,15,13,0,4,11,2,100,96.96115329631876,-0.030388467036812417,100,-3.0388467036812443,-0.030388467036812444,0.030388467036812444
nearest_t48,All,third_kelly,0.02,28,15,15,13,0,4,11,2,100,95.54847761826005,-0.044515223817399474,100,-4.451522381739949,-0.04451522381739949,0.04451522381739949
nearest_t48,All,third_kelly,0.05,28,15,15,13,0,4,11,2,100,93.42946410117202,-0.0657053589882799,100,-6.570535898827984,-0.06570535898827984,0.06570535898827984
nearest_t48,All,flat_one_percent,0,28,15,15,13,0,4,11,2,100,100.9792,0.009792000000000023,14.740000000000004,0.9792000000000058,0.06643147896879278,0.02
nearest_t48,All,flat_one_percent,0.02,28,15,15,13,0,4,11,2,100,100.743216,0.007432160000000021,14.740000000000004,0.7432160000000039,0.05042170963365018,0.02
nearest_t48,All,flat_one_percent,0.05,28,15,15,13,0,4,11,2,100,100.38924,0.003892400000000018,14.740000000000004,0.3892400000000009,0.026407055630936285,0.02
nearest_t48,All,robust_bayesian_kelly,0,28,4,0,2,22,0,0,2,100,100,0,0,0,,0
nearest_t48,All,robust_bayesian_kelly,0.02,28,4,0,2,22,0,0,2,100,100,0,0,0,,0
nearest_t48,All,robust_bayesian_kelly,0.05,28,4,0,2,22,0,0,2,100,100,0,0,0,,0
nearest_t48,All,half_kelly_model_blend,0,28,4,4,0,24,1,3,2,100,98.91530642956599,-0.010846935704340144,18.467037812806648,-1.0846935704340126,-0.05873673847582593,0.1302511881533283
nearest_t48,All,half_kelly_model_blend,0.02,28,4,4,0,24,1,3,2,100,98.62560069219312,-0.013743993078068839,18.467037812806648,-1.3743993078068826,-0.07442445950122843,0.1302511881533283
nearest_t48,All,half_kelly_model_blend,0.05,28,4,4,0,24,1,3,2,100,98.1910420861338,-0.018089579138661938,18.467037812806648,-1.8089579138661946,-0.09795604103933259,0.1302511881533283
nearest_t48,All,half_kelly_sim_blend,0,28,5,4,1,22,1,3,1,100,122.26905523389306,0.22269055233893065,37.7944340867379,22.269055233893056,0.5892152051486144,0
nearest_t48,All,half_kelly_sim_blend,0.02,28,5,4,1,22,1,3,1,100,121.2679970785492,0.21267997078549206,37.7944340867379,21.2679970785492,0.5627282850628039,0
nearest_t48,All,half_kelly_sim_blend,0.05,28,5,4,1,22,1,3,1,100,119.76640984553342,0.19766409845533417,37.7944340867379,19.766409845533417,0.5229979049340884,0
nearest_t48,All,half_kelly_model_sim_blend,0,28,1,1,0,27,1,0,1,100,143.98358272640598,0.4398358272640599,8.796716545281196,43.983582726405984,5,0
nearest_t48,All,half_kelly_model_sim_blend,0.02,28,1,1,0,27,1,0,1,100,143.10391107187786,0.43103911071877854,8.796716545281196,43.10391107187786,4.8999999999999995,0
nearest_t48,All,half_kelly_model_sim_blend,0.05,28,1,1,0,27,1,0,1,100,141.78440359008567,0.41784403590085684,8.796716545281196,41.784403590085674,4.749999999999999,0
nearest_t48,Moneyline,full_kelly,0,6,4,4,2,0,1,3,2,100,101.95286701186647,0.01952867011866477,5.363768158075324,1.9528670118664735,0.36408490343236966,0.025016154682979845
nearest_t48,Moneyline,full_kelly,0.02,6,4,4,2,0,1,3,2,100,101.83092309236744,0.018309230923674313,5.363768158075324,1.830923092367442,0.34135015504182986,0.025016154682979845
nearest_t48,Moneyline,full_kelly,0.05,6,4,4,2,0,1,3,2,100,101.6480072131189,0.016480072131189072,5.363768158075324,1.6480072131189019,0.3072480324560215,0.025016154682979845
nearest_t48,Moneyline,half_kelly,0,6,4,4,2,0,1,3,2,100,101.00500680570934,0.010050068057093409,2.700243371542272,1.0050068057093426,0.3721911944312348,0.012508077341489923
nearest_t48,Moneyline,half_kelly,0.02,6,4,4,2,0,1,3,2,100,100.94325263608849,0.009432526360884985,2.700243371542272,0.9432526360884879,0.34932134119071623,0.012508077341489923
nearest_t48,Moneyline,half_kelly,0.05,6,4,4,2,0,1,3,2,100,100.85062138165719,0.008506213816571906,2.700243371542272,0.8506213816571915,0.3150165613299331,0.012508077341489923
nearest_t48,Moneyline,third_kelly,0,6,4,4,2,0,1,3,2,100,100.67635415931203,0.006763541593120204,1.8042420904736498,0.6763541593120266,0.3748688509613862,0.008338718227659995
