bet_id,matchup_id,category,selection,published_book,available_book,offered_moneyline,estimated_win_probability,estimated_expected_return,threshold_met,comparison_book_count,source_quote_updated_at_utc,different_from_published_book,eligibility_basis
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,Total rounds,Under 2.5 rounds,BetUS,BetUS,186,0.43038227299969145,0.23089330077911763,True,4,2026-09-04T17:26:17.000000Z,False,same published selection; fresh saved prices; raw policy EV
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,Total rounds,Under 2.5 rounds,BetUS,BetAnything,170,0.43038227299969145,0.16203213709916708,True,4,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
965dec1c615389cc94e7e21aebe340839694f8a4e29fb590b98f79314a47d8e8,matchup_1fce52baf78bc8d3d8b338f10139cc7aeb18fe188c5bae17140a9dcc62f262e6,Total rounds,Under 2.5 rounds,BetUS,BetOnline.ag,181,0.43038227299969145,0.20937418712913303,True,4,2026-09-04T17:26:25.000000Z,True,same published selection; fresh saved prices; raw policy EV
6b73b564805ab4e6fb125c5da4ad3f18ef7fdfa3334754c267a0c95c5a1a05a8,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Total rounds,Over 1.5 rounds,BetAnything,DraftKings,-175,0.7524024830566337,0.18234675908899578,True,3,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
6b73b564805ab4e6fb125c5da4ad3f18ef7fdfa3334754c267a0c95c5a1a05a8,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Total rounds,Over 1.5 rounds,BetAnything,BetOnline.ag,-170,0.7524024830566337,0.1949921789723006,True,3,2026-09-04T17:26:25.000000Z,True,same published selection; fresh saved prices; raw policy EV
6b73b564805ab4e6fb125c5da4ad3f18ef7fdfa3334754c267a0c95c5a1a05a8,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Total rounds,Over 1.5 rounds,BetAnything,BetAnything,-170,0.7524024830566337,0.1949921789723006,True,3,2026-09-04T17:26:17.000000Z,False,same published selection; fresh saved prices; raw policy EV
6b73b564805ab4e6fb125c5da4ad3f18ef7fdfa3334754c267a0c95c5a1a05a8,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Total rounds,Over 1.5 rounds,BetAnything,BetUS,-170,0.7524024830566337,0.1949921789723006,True,3,2026-09-04T17:26:17.000000Z,True,same published selection; fresh saved prices; raw policy EV
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,matchup_41ba239087a241674fcd8f74181fb92a25ca542b10d45301b7c21c7489209f99,Moneyline,Tai Tuivasa,BetOnline.ag,Bally Bet,400,0.1834822540195663,-0.08258872990216848,False,6,2026-09-04T17:26:15.000000Z,True,same published selection; fresh saved prices; raw policy EV
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,matchup_41ba239087a241674fcd8f74181fb92a25ca542b10d45301b7c21c7489209f99,Moneyline,Tai Tuivasa,BetOnline.ag,BetOnline.ag,505,0.18859436302939128,0.14099589632781728,True,6,2026-09-04T17:26:25.000000Z,False,same published selection; fresh saved prices; raw policy EV
abe041c4a5d487cc2ea441e19818c4815a88c09f38b2b1eb7cfc3e0cdeb45063,matchup_41ba239087a241674fcd8f74181fb92a25ca542b10d45301b7c21c7489209f99,Moneyline,Tai Tuivasa,BetOnline.ag,betPARX,400,0.1834822540195663,-0.08258872990216848,False,6,2026-09-04T17:24:57.000000Z,True,same published selection; fresh saved prices; raw policy EV
