surface,matchup_id,selection,book,moneyline,estimated_probability,estimated_expected_return,observed_at_utc,comparison_only,on_qualified_board,price_contract_complete,settlement_status,paper_action
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by DECISION,BetWay,110,0.2293337577818689,-0.5183991086580753,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by KO/TKO,FanDuel,330,0.23260325350703542,0.00019399008025233755,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by SUBMISSION,FanDuel,3300,0.07077947358232566,1.4065021017990724,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by DECISION,FanDuel,135,0.2293337577818689,-0.46106566921260805,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by KO/TKO,Unibet,320,0.23260325350703542,-0.02306633527045121,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by SUBMISSION,Unibet,2500,0.07077947358232566,0.8402663131404671,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_51f9afe90b3c10f198f3b831550026bc05de06a230ace43ae9714acb3e53915e,Michael Page by DECISION,Unibet,132,0.2293337577818689,-0.4679456819460641,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by KO/TKO,BetRivers,117,0.3604672316904732,-0.21778610723167324,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by SUBMISSION,BetRivers,1100,0.12811629178315354,0.5373955013978424,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by DECISION,BetRivers,325,0.24027509274886752,0.021169144182686894,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by KO/TKO,BetWay,-110,0.3604672316904732,-0.31183528495455115,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by SUBMISSION,BetWay,900,0.12811629178315354,0.28116291783153535,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by DECISION,BetWay,350,0.24027509274886752,0.08123791736990382,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by KO/TKO,FanDuel,105,0.3604672316904732,-0.2610421750345301,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by SUBMISSION,FanDuel,1400,0.12811629178315354,0.921744376747303,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by DECISION,FanDuel,370,0.24027509274886752,0.12929293591967728,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by KO/TKO,Unibet,117,0.3604672316904732,-0.21778610723167324,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by SUBMISSION,Unibet,1200,0.12811629178315354,0.665511793180996,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_86b2eb61db67ca8fa121533f6e961a913c37fc9cd4cd9b044b5534cfa1159816,Daniil Donchenko by DECISION,Unibet,325,0.24027509274886752,0.021169144182686894,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
method_price_comparison,matchup_cf3205b162a0dde589038b55f4225ba43c70eea4bcc574f1ed3694825204d030,Kurtis Campbell by KO/TKO,BetRivers,245,0.08134446521809259,-0.7193615949975806,2026-09-02T17:28:02.040136Z,True,False,False,not_enabled_until_book_contracts_are_verified,
